Trial Pos Threads Clock One Two Draws Games
1775226402 pos_open2 1 2 8 10 22 40
1775226402 pos_open2 2 2 7 11 22 40
1775226402 pos_open2 4 2 10 14 16 40
1775226402 pos_open2 8 2 11 17 12 40
1775226402 pos_open2 16 2 13 18 9 40
1775226905 pos_open2 1 5 8 10 22 40
1775226905 pos_open2 2 5 8 10 22 40
1775226905 pos_open2 4 5 8 17 15 40
1775226905 pos_open2 8 5 9 16 15 40
1775226905 pos_open2 16 5 8 12 20 40
1775227328 pos_open2 1 1 11 13 16 40
1775227328 pos_open2 1 3 12 8 20 40
1775227328 pos_open2 2 1 7 15 18 40
1775227328 pos_open2 2 3 11 9 20 40
1775227328 pos_open2 4 1 14 11 15 40
1775227328 pos_open2 4 3 8 14 18 40
1775227328 pos_open2 8 1 11 22 7 40
1775227328 pos_open2 8 3 11 17 12 40
1775227328 pos_open2 16 1 10 20 10 40
1775227328 pos_open2 16 3 10 15 15 40
1775227673 pos_open2 1 4 9 8 23 40
1775227673 pos_open2 2 4 6 10 24 40
1775227673 pos_open2 4 4 8 9 23 40
1775227673 pos_open2 8 4 8 13 19 40
1775227673 pos_open2 16 4 8 16 16 40
1775228095 pos_open2 1 1 11 14 15 40
1775228095 pos_open2 1 2 13 10 17 40
1775228095 pos_open2 2 1 13 12 15 40
1775228095 pos_open2 2 2 8 13 19 40
1775228095 pos_open2 4 1 13 14 13 40
1775228095 pos_open2 4 2 9 13 18 40
1775228095 pos_open2 8 1 11 20 9 40
1775228095 pos_open2 8 2 9 12 19 40
1775228095 pos_open2 16 1 10 20 10 40
1775228095 pos_open2 16 2 8 16 16 40
1775228237 pos_open2 1 3 9 9 22 40
1775228237 pos_open2 1 4 9 8 23 40
1775228237 pos_open2 2 3 7 11 22 40
1775228237 pos_open2 2 4 8 7 25 40
1775228237 pos_open2 4 3 7 14 19 40
1775228237 pos_open2 4 4 8 15 17 40
1775228237 pos_open2 8 3 12 14 14 40
1775228237 pos_open2 8 4 11 15 14 40
1775228237 pos_open2 16 3 9 18 13 40
1775228237 pos_open2 16 4 10 14 16 40
1775228787 pos_open2 1 5 8 6 26 40
1775228787 pos_open2 2 5 9 9 22 40
1775228787 pos_open2 4 5 8 11 21 40
1775228787 pos_open2 8 5 9 11 20 40
1775228787 pos_open2 16 5 10 14 16 40
1775229063 pos_open2 1 10 10 5 25 40
1775229063 pos_open2 2 10 11 10 19 40
1775229063 pos_open2 4 10 6 11 23 40
1775229063 pos_open2 8 10 12 12 16 40
1775229063 pos_open2 16 10 9 15 16 40
1775229381 pos_open1 1 2 11 9 20 40
1775229381 pos_open1 2 2 5 10 25 40
1775229381 pos_open1 4 2 7 9 24 40
1775229381 pos_open1 8 2 11 13 16 40
1775229381 pos_open1 16 2 11 17 12 40
1775229609 pos_open1 1 5 5 7 28 40
1775229609 pos_open1 2 5 10 6 24 40
1775229609 pos_open1 4 5 8 10 22 40
1775229609 pos_open1 8 5 11 9 20 40
1775229609 pos_open1 16 5 12 14 14 40
1775231568 pos_open1 1 1 12 4 24 40
1775231568 pos_open1 2 1 13 13 14 40
1775231568 pos_open1 4 1 12 16 12 40
1775231568 pos_open1 8 1 8 17 15 40
1775231568 pos_open1 16 1 13 17 10 40
